Identifier,Full name,ID number,Email address,Status,Grade,Maximum Grade,Marking workflow state
Participant 5014634,David Thomas,92366433,david.thomas@bcu.ac.uk,Submitted for grading - Released,40,100,Released
Participant 5108773,David Anderson,95798671,david.anderson@bcu.ac.uk,Submitted for grading - Released,20,100,Released
Participant 5044333,Jennifer Taylor,97771032,jennifer.taylor@bcu.ac.uk,Submitted for grading - Released,14,100,Released
Participant 5108778,Robert Martin,91356532,robert.martin@bcu.ac.uk,No submission - Not marked,,100,Not marked
Participant 5112023,James Jackson,94658585,james.jackson@bcu.ac.uk,No submission - Not marked,,100,Not marked
Participant 5014678,David Gonzalez,93358399,david.gonzalez@bcu.ac.uk,No submission - Not marked,,100,Not marked
Participant 5014682,Richard Brown,96441075,richard.brown@bcu.ac.uk,No submission - Not marked,,100,Not marked
Participant 5112019,Jessica Anderson,93661184,jessica.anderson@bcu.ac.uk,Submitted for grading - Released,77,100,Released
Participant 5014718,Jessica Rodriguez,93494729,jessica.rodriguez@bcu.ac.uk,Submitted for grading - Released,75,100,Released
Participant 5108791,Patricia Garcia,95715536,patricia.garcia.1@bcu.ac.uk,Submitted for grading - Released,27,100,Released
Participant 5112005,William Jones,96010656,william.jones@bcu.ac.uk,Submitted for grading - Released,56,100,Released
Participant 5014732,Jennifer Moore,97128297,jennifer.moore@bcu.ac.uk,Submitted for grading - Released,58,100,Released
Participant 5044325,Karen Brown,99551994,karen.brown@bcu.ac.uk,Submitted for grading - Released,88,100,Released
Participant 5044339,Sarah Hernandez,91383693,sarah.hernandez@bcu.ac.uk,Submitted for grading - Released,56,100,Released
Participant 5044389,Richard Jackson,99965472,richard.jackson@bcu.ac.uk,Submitted for grading - Released,68,100,Released
Participant 5056872,Charles Miller,95574385,charles.miller@bcu.ac.uk,Submitted for grading - Released,47,100,Released
Participant 5014693,Jennifer Moore,98046885,jennifer.moore.1@bcu.ac.uk,Submitted for grading - Released,45,100,Released
Participant 5108748,Mary Anderson,99519062,mary.anderson@bcu.ac.uk,Submitted for grading - Released,60,100,Released
Participant 5014739,John Taylor,90992714,john.taylor@bcu.ac.uk,Submitted for grading - Released,55,100,Released
Participant 5014687,Susan Martin,91110590,susan.martin@bcu.ac.uk,Submitted for grading - Released,80,100,Released
Participant 5044365,Karen Miller,95985386,karen.miller@bcu.ac.uk,Submitted for grading - Released,70,100,Released
Participant 5126265,Richard Jones,98943952,richard.jones@bcu.ac.uk,Submitted for grading - Released,45,100,Released
Participant 5044367,David Martin,99712258,david.martin.1@bcu.ac.uk,Submitted for grading - Released,78,100,Released
Participant 5108788,Jennifer Davis,96557252,jennifer.davis.1@bcu.ac.uk,Submitted for grading - Released,77,100,Released
Participant 5108733,Thomas Gonzalez,97628992,thomas.gonzalez@bcu.ac.uk,No submission - Not marked,,100,Not marked
